project,description,version,developers,url,year,licenses,license urls,dependency
Spring Transaction,Spring Transaction,6.0.13,Juergen Hoeller,https://github.com/spring-projects/spring-framework,,"Apache License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0,org.springframework:spring-tx:6.0.13
Spring Web,Spring Web,6.0.13,Juergen Hoeller,https://github.com/spring-projects/spring-framework,,"Apache License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0,org.springframework:spring-web:6.0.13
Spring Web MVC,Spring Web MVC,6.0.13,Juergen Hoeller,https://github.com/spring-projects/spring-framework,,"Apache License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0,org.springframework:spring-webmvc:6.0.13
spring-boot,Spring Boot,3.1.5,Spring,https://spring.io/projects/spring-boot,,"Apache License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0,org.springframework.boot:spring-boot:3.1.5
spring-boot-autoconfigure,Spring Boot AutoConfigure,3.1.5,Spring,https://spring.io/projects/spring-boot,,"Apache License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0,org.springframework.boot:spring-boot-autoconfigure:3.1.5
spring-boot-starter,"Core starter, including auto-configuration support, logging and YAML",3.1.5,Spring,https://spring.io/projects/spring-boot,,"Apache License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0,org.springframework.boot:spring-boot-starter:3.1.5
spring-boot-starter-json,Starter for reading and writing json,3.1.5,Spring,https://spring.io/projects/spring-boot,,"Apache License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0,org.springframework.boot:spring-boot-starter-json:3.1.5
spring-boot-starter-logging,Starter for logging using Logback. Default logging starter,3.1.5,Spring,https://spring.io/projects/spring-boot,,"Apache License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0,org.springframework.boot:spring-boot-starter-logging:3.1.5
spring-boot-starter-tomcat,Starter for using Tomcat as the embedded servlet container. Default servlet container starter used by spring-boot-starter-web,3.1.5,Spring,https://spring.io/projects/spring-boot,,"Apache License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0,org.springframework.boot:spring-boot-starter-tomcat:3.1.5
spring-boot-starter-web,"Starter for building web, including RESTful, applications using Spring MVC. Uses Tomcat as the default embedded container",3.1.5,Spring,https://spring.io/projects/spring-boot,,"Apache License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0,org.springframework.boot:spring-boot-starter-web:3.1.5
tomcat-embed-core,Core Tomcat implementation,10.1.15,,https://tomcat.apache.org/,,"Apache License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,org.apache.tomcat.embed:tomcat-embed-core:10.1.15
tomcat-embed-el,Core Tomcat implementation,10.1.15,,https://tomcat.apache.org/,,"Apache License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,org.apache.tomcat.embed:tomcat-embed-el:10.1.15
tomcat-embed-websocket,Core Tomcat implementation,10.1.15,,https://tomcat.apache.org/,,"Apache License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,org.apache.tomcat.embed:tomcat-embed-websocket:10.1.15
zstd-jni,JNI bindings for Zstd native library that provides fast and high compression lossless algorithm for Java and all JVM languages.,1.5.2-1,Luben Karavelov,https://github.com/luben/zstd-jni,,BSD 2-Clause License,https://opensource.org/licenses/BSD-2-Clause,com.github.luben:zstd-jni:1.5.2-1
